Ref,programme_code,Sex,AgeGroup,age,CGPA,Semester1,Semester2,Semester3,Semester4,Semester5,Semester6,Semester7,Semester8,Sponsored,GRADUATED
9995446,17,0,0,25,3,2,2,2,3,3,3,3,3,1,1
9995447,17,0,0,24,3,2,3,2,4,3,3,2,2,1,1
9995448,17,0,1,30,2,2,2,0,3,3,3,2,2,1,0
9995449,1,0,0,24,2,3,3,2,3,2,2,2,2,1,0
9995450,17,1,1,26,3,3,3,2,3,4,3,2,3,1,1
9995451,1,0,1,27,3,3,3,2,2,2,2,3,3,1,1
9995452,96,0,0,24,3,2,3,2,2,3,3,3,3,1,1
9995453,14,0,0,25,3,3,3,3,3,3,3,3,3,1,1
9995454,42,1,1,31,1,2,0,0,3,2,2,0,1,1,0
9995455,87,0,1,35,2,2,2,2,2,2,3,2,2,1,0
9995456,11,0,1,26,3,2,2,2,3,2,2,3,3,0,1
9995457,1,1,0,24,2,3,3,2,2,2,2,3,2,1,0
9995458,87,0,0,24,3,2,3,2,3,3,3,2,3,1,1
9995459,14,0,0,24,3,3,3,3,4,4,4,3,4,1,1
9995460,14,0,0,24,4,4,3,4,4,5,4,4,4,1,1
9995461,5,0,0,25,1,2,3,0,2,2,0,0,1,1,0
9995462,18,0,0,25,2,3,2,1,3,2,2,2,2,1,0
9995463,17,1,1,26,3,3,3,2,2,2,2,2,3,1,0
9995464,14,1,1,26,4,3,3,3,4,4,4,4,4,1,1
9995465,5,1,0,25,3,3,3,4,4,3,3,3,3,1,1
9995466,44,0,1,27,3,3,2,2,3,3,4,3,3,1,1
9995468,14,0,0,24,4,3,3,3,3,4,4,4,4,1,1
9995469,1,1,1,30,3,3,3,3,3,3,3,3,3,1,1
9995470,15,1,1,29,2,2,2,2,3,2,2,3,3,1,0
9995471,17,0,1,26,3,2,3,2,3,3,4,3,3,1,1
9995472,89,1,1,26,3,2,3,2,3,3,4,3,3,1,1
9995473,97,0,0,25,3,3,3,3,3,4,4,4,3,1,1
9995474,14,0,1,26,3,3,2,3,2,2,2,3,3,1,1
9995475,17,1,0,24,3,4,4,3,2,3,4,3,4,1,1
9995476,5,0,0,23,5,4,5,5,5,5,5,5,4,0,1
9995477,19,1,0,25,2,2,2,2,2,2,2,2,2,1,0
9995478,17,0,1,26,3,4,3,3,4,3,3,3,4,1,1
9995479,98,1,0,25,3,3,3,2,3,3,4,3,3,1,1
9995480,45,0,0,25,3,2,2,2,2,3,4,3,3,1,1
9995481,14,0,1,26,3,3,3,3,3,3,4,3,3,1,1
9995482,15,0,0,24,3,2,3,2,3,3,3,3,4,1,1
9995483,4,1,1,29,3,3,3,2,4,3,2,2,3,1,0
9995484,95,1,2,40,3,2,2,2,3,3,3,2,4,0,1
9995485,78,1,1,32,3,2,3,2,3,3,4,4,3,1,1
9995487,96,0,0,25,3,3,3,2,3,3,4,3,3,1,1
9995488,2,0,0,24,3,4,3,3,3,4,2,4,4,1,1
9995489,89,0,1,28,3,3,3,2,4,4,5,3,4,1,1
9995490,5,0,0,24,2,2,2,2,2,2,2,1,2,1,0
9995491,5,1,0,24,3,3,3,2,5,4,3,2,3,1,1
9995492,17,1,1,27,3,3,3,3,3,4,3,3,3,1,1
9995493,1,0,0,25,3,2,2,2,2,3,3,3,3,1,1
9995494,87,1,1,33,2,2,3,2,2,2,2,2,3,1,0
9995495,1,0,0,24,2,2,2,2,2,3,2,2,3,1,0
9995496,41,0,0,25,3,3,3,3,3,3,4,3,4,1,1
9995497,42,1,1,29,3,3,3,2,4,4,4,3,3,1,1
9995499,1,0,1,29,3,2,3,3,3,3,3,3,3,1,1
9995500,89,1,0,25,3,3,3,2,3,3,4,3,3,1,1
9995501,5,0,1,27,3,3,2,2,4,4,3,2,3,1,1
9995502,42,1,0,25,2,2,2,2,3,2,4,1,2,1,0
9995503,5,0,0,24,3,3,3,2,3,3,3,3,3,1,1
9995504,44,1,0,25,3,3,3,2,3,2,3,2,2,1,1
9995505,42,1,0,24,3,2,2,2,3,3,4,3,4,1,1
9995506,2,1,1,29,3,2,3,2,2,3,3,2,3,1,1
9995507,5,0,1,33,2,2,2,2,4,2,3,2,0,0,0
9995508,1,0,1,26,3,2,3,3,3,3,3,3,3,1,1
9995509,44,1,0,25,3,2,3,3,3,3,4,2,3,1,1
9995510,14,0,0,23,3,3,3,3,4,4,4,4,3,1,1
9995511,14,0,0,25,4,4,4,4,4,4,4,4,4,1,1
9995512,5,1,0,25,3,2,2,2,2,4,4,4,3,1,0
9995513,2,1,1,29,0,4,4,2,3,2,0,0,0,1,0
9995514,17,1,0,25,0,3,2,2,2,3,3,0,0,1,0
9995515,5,0,0,25,3,3,3,4,5,4,3,2,3,0,1
9995516,19,0,1,26,3,3,2,3,3,2,3,3,3,1,1
9995517,14,0,0,25,3,3,2,3,3,3,3,3,3,1,1
9995518,1,0,1,26,3,3,3,3,3,3,3,3,3,1,1
9995519,42,1,1,27,3,4,3,2,4,3,4,3,3,1,1
9995520,42,1,0,25,3,3,2,2,4,4,4,2,3,1,1
9995521,24,1,2,37,2,2,2,2,3,3,2,0,3,0,0
9995522,17,1,1,29,3,2,2,2,4,4,3,2,2,1,1
9995523,89,1,1,29,3,3,4,2,3,3,4,2,3,1,1
9995524,25,1,1,28,1,3,2,2,2,0,2,0,0,1,0
9995525,1,0,0,25,3,3,3,3,3,3,3,3,3,1,1
9995526,17,0,0,24,3,3,2,2,4,3,3,4,3,1,1
9995527,1,0,1,31,3,2,3,3,2,3,3,2,3,1,1
9995528,17,1,0,25,3,2,2,2,3,4,3,3,2,1,0
9995529,2,1,1,28,2,2,2,2,4,4,2,2,0,1,0
9995530,17,1,0,24,3,3,2,2,3,4,3,4,3,1,1
9995531,96,1,1,27,0,2,3,3,3,4,3,0,0,1,0
9995532,17,1,0,25,3,2,2,2,4,4,3,2,2,1,1
9995533,30,1,1,30,4,3,3,3,4,4,3,4,4,1,1
9995534,45,0,0,24,3,3,3,3,3,3,4,2,4,1,1
9995535,14,0,1,34,3,3,3,3,3,3,3,3,3,1,1
9995536,1,1,1,27,3,3,3,2,2,3,2,3,3,1,1
9995537,17,0,0,25,3,3,2,2,3,3,3,3,3,1,0
9995538,11,0,1,35,2,3,3,2,2,2,2,2,2,0,0
9995539,30,1,0,24,2,2,2,0,3,2,2,0,0,1,0
9995540,25,0,1,27,3,3,2,0,2,2,4,2,3,1,0
9995541,15,0,0,25,3,2,3,2,2,3,3,2,3,1,1
9995542,1,0,0,24,3,3,3,2,2,2,2,3,3,1,1
9995543,41,1,0,24,3,2,3,2,3,2,4,2,2,1,0
9995544,5,1,1,29,3,3,3,2,3,3,3,2,3,1,1
9995545,2,0,0,24,3,2,3,2,3,3,2,3,3,1,0
9995546,96,0,1,26,3,2,3,2,2,3,5,3,3,1,1
9995547,94,0,1,30,3,3,3,4,3,2,2,2,3,0,0
9995548,19,0,0,25,2,2,2,2,3,2,2,2,0,1,0
9995549,98,1,1,27,3,4,4,3,4,3,3,3,4,1,1
9995551,5,0,0,25,3,2,2,2,3,3,3,3,3,1,1
9995552,19,0,1,26,3,3,2,3,3,4,4,4,3,1,1
9995553,17,0,0,25,4,3,3,4,3,4,4,4,4,1,1
9995554,5,1,0,25,2,2,2,1,3,2,0,0,0,1,0
9995555,41,1,0,25,3,3,3,4,3,3,4,3,4,1,1
9995556,96,0,1,26,3,4,3,3,3,3,4,3,3,1,1
9995557,17,0,1,27,3,3,3,3,3,4,3,3,3,1,1
9995558,78,1,1,27,3,3,2,1,3,3,4,0,3,1,0
9995559,5,0,1,26,2,2,2,0,2,2,3,2,3,1,0
9995560,89,0,1,27,2,2,2,1,3,2,4,2,2,1,0
9995561,89,0,0,25,3,3,2,2,4,3,3,3,2,1,1
9995562,2,1,1,27,3,2,2,2,2,2,3,3,3,1,1
9995563,2,0,1,27,3,2,3,2,3,3,3,3,3,1,1
9995564,96,0,1,26,3,2,2,2,3,3,5,4,3,1,1
9995565,4,1,1,29,2,2,2,2,3,2,3,2,2,1,0
9995566,2,0,1,26,3,3,3,3,3,2,3,3,0,1,0
9995567,1,0,1,27,3,3,2,2,2,2,3,3,3,1,1
9995568,5,0,0,24,3,3,3,4,4,4,3,2,2,1,0
9995569,14,0,0,25,4,3,3,3,4,4,4,3,4,1,1
9995570,1,0,0,25,2,3,2,2,2,2,2,2,2,1,0
9995571,14,0,0,25,4,4,4,4,4,5,4,4,4,1,1
9995572,1,1,0,24,2,1,2,0,2,2,2,2,0,1,0
9995573,11,0,1,34,2,2,2,2,2,2,2,2,2,0,0
9995574,4,1,1,28,2,2,2,0,3,2,3,2,0,1,0
9995575,17,1,1,28,3,4,3,3,4,4,3,3,3,1,1
9995576,4,0,0,25,3,3,2,2,3,3,3,3,3,1,1
9995577,17,0,0,25,3,3,2,0,3,3,3,3,3,1,0
9995578,77,0,1,27,3,3,2,0,3,3,4,2,4,1,1
9995579,1,0,0,24,3,3,3,3,3,3,2,4,4,1,1
9995580,17,1,0,24,3,3,3,3,3,4,3,3,3,1,1
9995581,19,0,1,31,3,2,2,2,3,3,3,2,4,1,1
9995582,29,1,1,26,2,2,2,2,3,2,2,0,2,1,0
9995584,17,1,0,24,4,3,3,3,4,4,4,4,4,1,1
9995585,17,0,0,24,4,4,4,4,3,4,4,4,3,1,1
9995586,17,0,1,26,3,2,2,0,3,3,2,4,3,1,1
9995587,17,0,0,25,3,3,3,3,4,4,4,3,3,1,1
9995588,42,0,0,25,4,4,3,3,4,3,4,2,4,1,1
9995589,14,0,0,25,3,3,2,3,3,3,3,3,3,1,1
9995590,96,0,1,28,3,4,4,2,3,4,4,3,3,1,1
9995591,41,1,1,30,3,3,3,3,3,3,4,2,3,1,1
9995593,17,1,0,25,3,2,2,2,3,3,3,2,2,1,1
9995594,16,0,0,24,2,2,2,2,2,2,2,0,2,1,0
9995595,19,0,1,29,3,3,4,3,3,4,3,3,3,1,1
9995596,78,1,0,25,3,3,4,3,2,3,4,4,4,1,1
9995597,1,1,1,27,3,2,2,3,2,2,2,3,3,1,1
9995599,15,1,1,29,2,2,2,1,0,2,1,2,4,1,0
9995600,4,0,1,29,3,2,2,2,3,4,3,3,2,1,0
9995601,25,0,0,25,3,3,3,2,4,2,4,2,3,1,1
9995602,95,1,2,38,2,2,3,2,3,3,2,2,2,0,0
9995603,19,0,1,28,3,2,2,2,3,4,3,2,3,1,0
9995605,41,1,0,25,3,2,3,3,3,3,4,2,3,1,0
9995606,2,0,1,28,4,4,4,4,4,4,3,4,4,1,1
9995607,14,1,1,29,3,3,3,3,3,3,3,3,2,1,0
9995609,1,1,1,28,2,2,3,2,2,2,3,2,2,0,0
9995610,25,1,1,28,2,3,2,2,2,0,2,0,2,1,0
9995611,42,1,0,24,3,3,2,0,3,2,4,0,2,1,0
9995612,30,1,0,24,3,2,2,2,4,4,3,3,4,1,1
9995613,17,1,0,25,2,2,2,2,3,3,3,2,3,1,0
9995614,78,1,1,29,3,2,2,2,3,3,4,4,4,1,1
9995616,1,0,0,24,2,2,2,2,2,3,2,2,2,0,0
9995617,42,1,1,28,2,3,2,2,3,2,4,0,2,1,0
9995618,44,1,1,27,3,3,2,2,3,3,4,3,3,1,1
9995619,5,1,0,25,3,3,3,2,3,3,3,3,3,1,1
9995620,41,1,1,28,2,2,2,0,2,3,2,3,3,0,0
9995621,17,0,0,25,3,2,2,2,4,3,3,3,3,1,1
9995622,17,1,0,25,3,3,3,2,4,4,3,3,2,1,1
9995623,87,0,0,25,3,3,3,2,2,2,3,3,4,1,1
9995624,17,0,0,24,2,2,0,2,3,3,3,2,2,1,0
9995625,5,0,1,26,3,2,0,3,3,4,4,3,4,1,0
9995626,2,0,0,25,2,2,2,2,3,4,2,2,2,1,0
9995627,14,0,0,25,4,4,3,4,3,4,4,4,4,1,1
9995628,17,1,0,24,2,2,2,0,4,4,3,2,0,1,0
9995630,5,0,0,24,4,4,3,3,4,5,5,4,5,1,1
9995631,4,1,1,28,3,2,3,3,4,3,2,3,3,1,0
9995632,44,0,1,28,3,3,3,2,4,3,4,3,3,1,1
9995633,17,1,1,26,4,4,4,4,4,4,4,4,3,1,1
9995634,5,0,0,25,3,2,2,1,3,3,3,3,2,1,0
9995635,16,0,1,28,2,2,3,2,1,0,2,0,0,1,0
9995636,77,0,1,26,3,3,3,2,3,4,3,3,4,1,1
9995637,14,1,1,27,0,3,2,2,3,3,3,3,0,1,0
9995638,1,0,1,26,3,3,3,2,2,2,3,3,3,1,1
9995639,95,1,1,27,3,2,2,0,3,3,3,3,3,0,1
9995640,1,0,1,26,3,2,2,3,2,3,3,3,3,1,1
9995641,11,1,0,25,2,2,0,2,2,2,3,2,3,0,0
9995642,97,0,0,24,3,3,3,3,3,3,4,3,3,1,1
9995643,17,0,0,25,3,4,3,3,4,3,3,4,3,1,1
9995644,89,1,1,28,3,3,3,2,3,3,3,3,3,1,1
9995645,2,0,1,28,3,2,3,4,3,3,3,4,4,1,1
9995646,98,0,0,25,3,3,3,2,3,4,4,3,3,1,1
9995647,4,0,1,28,3,2,2,0,3,3,2,3,2,1,0
9995648,5,1,0,24,2,2,2,0,4,2,0,0,0,1,0
9995649,18,1,0,24,3,3,2,3,4,3,3,3,3,1,1
9995650,87,0,1,28,3,3,3,2,3,3,3,3,4,1,1
9995651,95,0,1,26,2,2,2,0,2,2,2,2,3,0,0
9995652,17,0,0,25,0,3,2,2,3,3,3,0,0,1,0
9995653,17,1,1,26,3,3,2,2,3,4,3,3,3,1,1
9995654,17,0,0,25,3,2,2,2,3,3,4,3,4,1,1
9995655,2,1,1,27,3,3,3,2,2,4,2,3,2,1,0
9995656,2,1,1,34,3,3,3,2,4,4,2,2,2,1,0
9995657,5,1,0,25,2,3,3,2,4,2,2,1,0,1,0
9995658,14,1,0,24,4,4,3,3,4,4,4,4,4,1,1
9995659,19,1,1,29,3,2,2,2,3,3,3,3,3,1,1
9995660,41,1,1,28,3,3,3,2,4,3,4,3,3,1,1
9995661,2,1,1,26,3,3,3,2,4,4,2,0,2,1,0
9995662,17,0,0,25,3,3,3,3,4,3,3,2,3,1,1
9995663,87,0,0,23,3,2,3,2,3,2,3,3,4,1,1
9995664,5,1,1,30,1,2,2,1,2,2,0,0,0,1,0
9995665,30,1,0,25,2,3,2,2,3,2,2,0,2,1,0
9995666,15,0,1,28,2,2,3,2,2,2,2,2,3,1,0
9995667,15,0,1,27,3,2,3,2,3,3,3,3,3,1,1
9995668,5,1,1,27,3,2,3,3,4,4,4,4,4,1,1
9995669,19,0,1,26,3,2,2,2,3,3,3,3,3,1,1
9995670,17,0,0,24,3,3,4,3,3,3,4,3,3,1,1
9995671,42,1,1,29,3,3,3,2,3,3,3,2,2,1,1
9995672,1,0,0,25,3,3,3,4,3,3,3,3,4,1,1
9995673,89,1,1,29,3,2,3,2,3,3,5,3,3,1,1
9995674,5,0,0,25,3,3,2,2,4,3,3,2,3,1,0
9995675,44,0,2,44,3,3,3,2,3,3,4,3,3,0,1
9995676,41,0,1,27,4,4,4,4,4,4,4,4,5,0,1
9995677,42,1,0,25,3,3,2,2,3,3,3,2,3,1,1
9995678,16,0,0,24,2,1,2,1,0,0,2,2,0,1,0
9995679,4,0,0,24,3,2,2,0,4,3,2,3,2,1,0
9995680,17,0,0,24,3,2,2,2,3,3,3,3,3,1,1
9995682,79,0,1,26,3,2,0,2,2,3,4,2,2,1,0
9995683,89,1,1,33,3,4,4,2,4,4,5,3,3,1,1
9995685,15,0,0,25,3,2,2,2,3,2,3,3,3,1,1
9995686,45,0,0,24,3,3,3,3,3,3,4,3,4,1,1
9995687,4,0,0,25,3,1,0,4,4,4,3,3,3,1,0
9995688,77,1,0,25,2,2,2,2,3,3,4,2,2,1,0
9995689,5,0,1,27,3,3,3,4,3,4,2,3,3,1,0
9995690,33,1,1,26,3,3,3,3,4,3,3,3,3,1,1
9995691,17,1,0,25,3,3,3,2,3,4,3,2,2,1,1
9995692,19,0,1,29,3,2,3,2,3,4,3,3,3,1,0
9995693,17,0,1,27,3,2,2,2,3,4,3,4,3,1,1
9995694,5,1,0,25,3,4,3,3,5,4,2,2,3,1,1
9995696,42,0,1,26,3,3,3,3,3,3,4,4,4,1,1
9995697,97,0,0,24,3,3,3,2,3,2,3,3,3,1,1
9995698,1,0,1,26,3,2,3,3,2,2,3,3,3,1,1
9995700,17,1,0,25,3,3,2,3,4,4,3,3,1,1,0
9995701,17,0,0,24,4,3,4,3,4,4,4,4,4,1,1
9995702,97,0,0,25,3,3,3,3,3,3,4,4,3,1,1
9995703,16,0,1,26,3,2,2,2,2,3,3,3,3,1,1
9995704,17,1,1,27,4,3,3,3,4,4,4,4,3,1,1
9995705,14,0,1,26,3,3,2,3,3,3,3,3,3,0,0
9995706,4,1,1,27,3,2,3,2,4,4,3,2,2,1,1
9995707,14,0,1,26,3,3,3,4,4,3,4,3,3,1,1
9995708,14,1,1,31,3,2,2,3,3,3,3,3,2,1,1
9995709,17,1,0,24,3,3,3,3,3,4,4,3,3,1,1
9995710,14,1,1,27,3,3,3,3,3,3,3,3,2,1,1
9995711,17,0,1,27,0,2,2,0,2,2,3,0,0,1,0
9995712,30,1,1,26,2,3,2,0,3,3,2,0,2,1,0
9995713,17,0,0,25,2,2,2,2,4,3,2,2,2,1,0
9995714,41,1,1,27,3,3,3,2,3,3,3,2,3,1,1
9995715,4,1,0,25,3,3,3,3,4,3,3,3,3,1,0
9995716,1,1,1,28,2,2,3,2,2,2,2,3,3,1,0
9995717,5,1,0,25,3,3,3,4,4,3,2,2,2,1,0
9995718,98,0,0,25,3,3,3,2,3,4,4,3,3,1,1
9995719,17,1,1,26,2,2,0,0,3,3,3,3,3,1,0
9995720,5,0,1,26,3,2,2,0,3,4,3,3,3,1,0
9995721,1,0,1,26,2,2,2,2,2,2,0,2,3,1,0
9995722,17,1,0,25,3,3,4,3,3,2,4,4,3,1,1
9995723,14,1,0,25,3,4,3,3,3,3,3,4,4,1,1
9995724,9,1,0,24,2,2,0,2,2,2,3,2,3,1,0
9995725,2,0,0,24,3,2,2,2,3,4,2,3,3,1,1
9995726,41,0,0,24,3,2,3,3,3,3,4,3,4,1,1
9995727,97,1,1,30,3,4,3,2,4,3,4,3,3,1,1
9995728,42,0,0,24,3,3,3,2,4,3,4,2,3,1,1
9995729,19,0,1,26,3,3,3,2,3,3,4,3,4,1,1
9995730,98,1,1,26,3,3,3,2,4,3,4,4,4,1,1
9995732,44,1,0,25,3,2,2,3,3,2,4,3,3,1,1
9995733,89,0,0,24,3,3,3,2,3,2,3,2,3,1,1
9995734,17,0,0,25,2,2,2,1,3,3,3,2,2,1,0
9995735,1,1,1,33,3,3,2,2,3,3,2,3,3,1,1
9995736,1,0,1,34,2,2,2,2,3,2,2,2,3,1,0
9995737,44,1,1,28,2,3,3,2,3,2,3,0,2,1,0
9995738,17,0,0,25,3,2,3,3,3,4,4,4,3,1,1
9995739,17,0,1,26,0,2,0,0,3,3,3,2,0,1,0
9995740,5,1,1,34,2,3,2,0,2,2,2,1,2,1,0
9995741,1,0,1,26,2,2,3,2,2,2,2,2,3,1,0
9995742,2,1,0,25,3,3,3,2,3,4,2,3,4,1,1
9995744,33,0,0,25,3,3,2,3,4,4,4,3,4,1,1
9995745,15,0,1,28,3,2,3,2,3,3,3,3,4,1,1
9995746,2,1,1,29,3,3,3,2,2,3,3,3,2,1,0
9995747,10,0,0,24,2,2,3,2,4,2,2,0,3,1,0
9995748,45,1,0,25,3,4,4,3,3,2,4,2,2,1,0
9995750,87,1,1,28,2,2,2,2,2,2,2,2,3,1,0
9995751,87,0,2,36,2,2,2,2,2,2,2,3,2,1,0
9995752,87,1,1,27,3,3,3,2,2,3,3,3,3,1,0
9995753,98,0,0,25,4,4,4,3,4,4,4,4,4,1,1
9995754,16,0,1,27,2,2,2,2,2,2,2,3,2,1,0
9995755,2,1,1,26,3,2,3,2,4,3,3,3,2,1,0
9995756,17,0,1,26,3,3,2,2,3,3,2,2,2,1,1
9995757,16,0,1,29,2,1,2,0,2,2,2,3,2,1,0
9995758,15,0,1,27,3,2,3,2,3,3,3,3,4,1,1
9995759,95,1,0,25,3,3,3,2,2,3,3,2,4,0,1
9995760,41,1,1,26,3,3,3,2,3,2,4,3,2,1,0
9995762,4,0,0,25,4,3,3,4,4,4,4,4,4,1,1
9995763,19,0,1,30,3,2,3,2,3,4,3,4,2,1,1
9995764,15,0,1,26,3,2,2,2,3,3,3,3,3,1,1
9995765,1,0,0,24,3,3,3,3,3,3,3,3,3,1,1
9995766,17,1,1,28,2,2,2,1,3,3,3,2,2,1,0
9995767,17,1,0,25,3,3,4,3,3,4,3,4,3,1,1
9995768,11,0,0,25,2,2,2,0,2,2,2,2,3,0,0
9995769,17,1,0,25,3,3,2,2,3,3,3,2,3,1,1
9995770,11,1,0,25,2,2,2,2,2,0,2,2,2,0,0
9995771,15,0,1,26,3,2,3,2,3,3,3,3,3,1,1
9995772,17,0,0,24,3,2,2,2,4,3,3,4,3,1,1
9995773,42,1,1,26,2,3,2,2,2,0,5,0,3,1,0
9995774,5,1,0,25,3,2,2,2,3,4,3,4,4,1,1
9995775,5,0,0,24,2,2,2,0,4,2,2,2,2,1,0
9995776,95,0,0,25,3,3,3,2,3,3,3,3,4,0,1
9995777,42,1,0,24,4,4,4,3,4,4,3,3,4,1,1
9995778,30,0,0,25,3,3,2,2,4,3,3,3,3,1,1
9995779,45,0,1,28,3,2,3,2,2,3,4,3,3,1,1
9995780,14,1,0,25,2,3,2,2,2,3,2,3,2,1,0
9995781,17,1,1,26,0,2,3,0,2,3,2,2,0,1,0
9995782,1,0,1,33,2,2,2,2,2,3,2,2,3,1,0
9995783,87,1,1,33,3,2,3,2,3,3,3,3,3,1,1
9995785,14,1,0,25,3,3,3,3,3,4,3,4,4,1,1
9995786,25,1,1,29,3,3,3,2,3,2,3,2,3,1,1
9995787,17,1,0,25,3,2,2,2,4,4,3,3,3,1,1
9995788,20,1,1,26,2,2,2,0,2,2,0,2,0,0,0
9995789,17,0,1,27,3,2,2,2,3,4,3,3,2,1,1
9995791,5,1,1,29,3,2,3,2,3,4,3,2,2,1,1
9995792,14,1,1,27,4,4,3,3,4,4,4,4,4,1,1
9995793,25,0,0,24,3,3,2,2,3,2,4,2,3,1,1
9995794,45,0,1,26,3,4,3,3,3,4,3,3,4,1,1
9995795,89,1,1,26,3,3,3,0,3,3,4,2,3,1,1
9995796,25,1,1,26,3,2,3,2,3,2,4,2,3,1,1
9995797,11,0,1,27,2,2,2,1,2,2,2,2,2,0,0
9995798,14,0,0,25,2,2,2,2,2,3,3,2,3,1,0
9995799,15,0,1,26,3,2,2,2,3,3,3,3,4,1,1
9995800,30,0,0,24,3,2,2,2,4,3,2,2,3,1,0
9995801,98,1,2,36,3,3,3,2,3,3,4,3,2,1,0
9995802,5,0,1,26,4,4,4,3,5,5,3,4,4,0,1
9995803,5,0,0,25,4,4,4,4,4,4,4,4,4,1,1
9995804,44,0,1,27,3,3,3,3,4,4,4,3,3,1,1
9995805,1,0,0,24,3,3,3,4,3,3,3,4,4,1,1
9995807,29,0,0,25,3,3,2,2,4,3,3,2,3,1,1
9995808,1,0,1,29,3,3,3,2,2,3,3,3,3,1,1
9995810,14,0,1,31,4,3,3,3,4,4,4,3,3,1,1
9995811,19,1,1,26,3,2,2,2,3,2,3,2,3,1,1
9995812,5,1,0,25,2,3,2,2,5,4,1,0,0,1,0
9995813,41,1,0,25,3,3,3,2,3,3,4,2,2,1,0
9995814,5,0,1,28,3,3,4,3,3,3,2,2,3,1,1
9995815,17,0,1,26,3,2,2,2,4,4,3,3,3,1,1
9995816,97,0,1,27,4,4,4,3,4,4,4,4,4,1,1
9995817,29,0,0,25,2,2,2,3,3,2,3,0,2,1,0
9995818,1,1,1,28,2,2,2,2,2,2,2,2,3,1,0
9995819,42,1,0,25,4,4,3,3,4,3,4,3,4,1,1
9995820,97,0,1,28,3,2,3,3,4,3,4,2,3,1,1
9995821,9,1,0,24,3,2,2,3,4,2,3,3,4,1,1
9995822,1,0,0,25,2,2,2,2,2,2,3,3,3,1,0
9995823,17,1,0,24,3,4,3,3,3,4,3,3,3,1,1
9995824,11,0,1,26,2,2,2,2,2,2,2,2,3,0,0
9995825,2,0,0,25,3,2,3,2,3,3,3,2,2,1,0
9995826,5,1,1,27,3,3,3,3,3,3,3,2,3,1,1
9995827,1,0,1,26,2,2,3,2,2,2,3,2,2,1,0
9995828,1,0,0,24,3,3,2,2,3,3,3,3,3,1,1
9995829,89,1,1,26,4,4,4,2,4,4,3,3,3,1,1
9995830,5,0,0,24,3,3,2,2,4,4,3,3,3,1,1
9995831,5,0,1,27,3,3,3,0,4,3,2,2,2,1,0
9995832,5,1,0,24,3,3,4,2,5,4,3,2,2,1,0
9995833,95,0,1,29,3,2,2,0,2,2,3,3,3,0,1
9995834,20,1,2,57,2,2,2,0,3,2,2,2,2,0,0
9995835,15,0,1,31,2,2,3,2,3,3,3,2,3,0,0
9995836,16,0,1,28,2,2,2,2,0,2,2,2,2,0,0
9995837,11,0,2,37,3,3,3,2,3,3,3,3,3,0,1
9995838,10,0,1,35,3,3,3,2,5,4,3,3,4,0,1
9995839,15,0,2,43,3,3,3,2,3,3,3,3,4,0,1
9995840,95,0,1,30,3,3,3,3,4,3,3,3,3,0,1
9995841,9,0,2,36,4,3,4,4,5,4,5,4,4,0,1
9995842,1,1,1,29,2,3,3,2,2,2,2,2,3,0,0
9995843,1,0,1,29,3,2,3,3,2,3,3,3,3,0,1
9995845,1,1,1,31,3,3,3,3,3,3,2,3,2,0,1
9995848,9,1,1,34,3,2,0,2,3,3,3,2,2,0,0
9995849,14,1,1,28,2,3,3,2,3,3,2,2,2,1,0
9995850,5,0,0,25,3,3,3,3,3,3,4,2,3,1,1
9995851,15,0,1,26,3,3,3,3,3,3,3,3,3,0,1
9995852,15,1,1,29,3,3,3,2,3,3,3,3,3,0,1
9995853,14,1,1,26,4,4,3,4,4,3,4,4,4,0,1
9995854,41,1,1,27,3,2,2,2,3,3,4,2,3,0,1
9995855,14,0,2,40,3,3,3,3,3,2,3,3,4,0,1
9995856,94,0,1,34,3,2,2,2,2,2,3,2,3,0,1
9995857,96,1,1,30,2,2,2,2,2,2,4,2,2,0,0
9995859,5,1,0,25,3,3,4,3,3,3,4,3,4,1,1
9995860,16,0,1,26,3,3,3,3,3,3,3,3,3,1,0
9995861,5,1,0,24,3,2,3,3,3,2,3,3,2,1,1
9995862,87,0,0,25,3,3,3,2,2,3,3,3,3,1,0
9995863,25,0,0,25,3,2,3,2,4,4,4,3,4,0,1
9995864,98,1,1,28,3,3,3,2,3,3,3,2,2,1,0
9995865,1,1,1,26,2,2,2,2,2,2,2,2,3,1,0
9995866,41,1,1,28,3,3,3,3,3,3,5,4,3,1,1
9995867,14,0,0,25,3,3,2,2,2,2,3,3,3,0,0
9995868,5,1,1,27,2,3,0,0,3,2,3,0,1,1,0
9995869,5,1,1,26,3,2,2,3,4,3,4,3,4,1,1
9995870,44,0,1,29,2,2,2,0,2,0,3,2,3,1,0
9995872,97,0,0,25,3,3,3,3,3,3,5,3,4,1,1
9995873,41,0,1,31,3,3,3,2,2,2,4,2,3,1,1
9995874,97,0,1,30,3,2,2,3,2,3,3,3,3,1,1
9995875,97,0,1,26,3,3,3,3,3,3,4,3,3,0,1
9995876,97,0,1,26,4,2,3,4,4,4,5,4,4,1,1
9995877,97,0,0,25,4,3,3,4,3,4,5,4,3,1,1
9995878,97,0,1,30,3,2,3,4,3,3,4,3,4,1,1
9995879,45,0,0,25,2,1,2,0,1,2,0,4,0,0,0
9995880,45,0,1,27,3,2,2,3,2,2,4,3,2,1,1
9995881,45,1,1,27,2,2,2,2,0,2,4,2,3,1,0
9995882,45,0,1,26,3,2,2,2,3,3,2,3,3,1,1
